Muscle;Exercice;Type;Niveaux;Chaîne existante;Position;Fiabilité du rattachement;Proposition PLUS SIMPLE;Proposition PLUS DUR;VARIANTE PLUS SIMPLE (à remplir);VARIANTE PLUS DURE (à remplir);Remarque
CHAÎNES EXISTANTES (src/lib/progression-chains.js) — du plus simple au plus dur;;;;;;;;;;;
pompes;Pompes sur les genoux;Pompes normales;Pompes pieds surélevés;Pompes archer;Pompes 1 bras sur les genoux;Pompes 1 bras;;;;;
dips;Dips triceps banc (jambes fléchies);Dips triceps banc (jambes tendues) ou Dips triceps pieds surélevés;Dips barres parallèles assistés élastique ou Dips barres parallèles (descente seule);Dips barres parallèles;;;;;;;
tractions;Traction australienne (rowing barre basse);Traction assistée élastique;Traction prise neutre;Traction supination;Traction prise large;Traction;Traction 1 bras assistée élastique;Traction 1 bras;;;
squat;Squat assisté (chaise derrière);Squat;Pistol squat assisté;Pistol squat;;;;;;;
fente;Fente assistée;Fente marchée poids de corps;Fente bulgare poids de corps;Fente bulgare surélevée;;;;;;;
pont fessier;Pont fessier sol poids de corps;Pont fessier sur banc;Hip thrust poids de corps;Pont fessier 1 jambe sol;Hip thrust 1 jambe;;;;;;
gainage;Gainage sur les genoux (30s);Gainage normal (30s);Gainage long (60s);Gainage avec extension bras alternés;Gainage avec extension jambe alternée;Gainage avec rotation (mountain climber lent);Gainage sur 1 bras;;;;
triceps;Extension triceps élastique vertical;Diamond push-up sur les genoux;Diamond push-up;Diamond push-up élastique;;;;;;;
mollets;Élévation mollets sol 2 jambes;Élévation mollets marche 2 jambes;Élévation mollets 1 jambe sol;Élévation mollets marche 1 jambe;;;;;;;
